id_A,segment_id_A,source_file_A,id_B,segment_id_B,source_file_B,prediction
44731344_SXKPVCFE_XLOLCGQM_0_0,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_0,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_1,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_1,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,0
44731344_SXKPVCFE_XLOLCGQM_0_1,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_1,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_1,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_1,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_2,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_2,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,0
44731344_SXKPVCFE_XLOLCGQM_0_2,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_2,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_2,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_2,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_4,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_4,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,0
44731344_SXKPVCFE_XLOLCGQM_0_4,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_4,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_4,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_4,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_5,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_5,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_5,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_5,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_6,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_6,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,0
44731344_SXKPVCFE_XLOLCGQM_0_6,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_6,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_6,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_6,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_7,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_7,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,0
44731344_SXKPVCFE_XLOLCGQM_0_7,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_7,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_7,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_7,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_8,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_8,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,1
44731344_SXKPVCFE_XLOLCGQM_0_8,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_8,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,1
44731344_SXKPVCFE_XLOLCGQM_0_8,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_8,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,1
44731344_SXKPVCFE_XLOLCGQM_0_9,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_9,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,0
44731344_SXKPVCFE_XLOLCGQM_0_9,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_9,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_9,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_9,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_10,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_10,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,0
44731344_SXKPVCFE_XLOLCGQM_0_10,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_10,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_10,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_10,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_11,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_11,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,0
44731344_SXKPVCFE_XLOLCGQM_0_11,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_11,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_11,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_11,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_12,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_12,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,0
44731344_SXKPVCFE_XLOLCGQM_0_12,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_12,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_12,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_12,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_13,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_13,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,0
44731344_SXKPVCFE_XLOLCGQM_0_13,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_13,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_13,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_13,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_14,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_14,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,0
44731344_SXKPVCFE_XLOLCGQM_0_14,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_14,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_14,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_14,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_15,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_15,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,0
44731344_SXKPVCFE_XLOLCGQM_0_15,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_15,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_15,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_15,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_16,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_16,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,0
44731344_SXKPVCFE_XLOLCGQM_0_16,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_16,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_16,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_16,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_17,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_17,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,0
44731344_SXKPVCFE_XLOLCGQM_0_17,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_17,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_17,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_17,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_18,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_18,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,0
44731344_SXKPVCFE_XLOLCGQM_0_18,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_18,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_18,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_18,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_19,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_19,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,0
44731344_SXKPVCFE_XLOLCGQM_0_19,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_19,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_19,44731344_SXKPVCFE_XLOLCGQM_0,FOPZUCAJROVY,44731344_SXKPVCFE_XLOLCGQM_0_19,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_0,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_0,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_0,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_0,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_1,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_1,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_1,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_1,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_2,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_2,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_2,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_2,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_3,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_3,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_3,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_3,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_4,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_4,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_4,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_4,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_6,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_6,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_6,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_6,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_7,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_7,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_7,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_7,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_8,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_8,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_8,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_8,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_9,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_9,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_9,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_9,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_10,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_10,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_10,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_10,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_11,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_11,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_11,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_11,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_12,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_12,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_12,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_12,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_13,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_13,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_13,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_13,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_14,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_14,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_14,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_14,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_15,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_15,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_15,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_15,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_16,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_16,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_16,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_16,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_17,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_17,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_17,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_17,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_18,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_18,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_18,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_18,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_19,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_19,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,0
44731344_SXKPVCFE_XLOLCGQM_0_19,44731344_SXKPVCFE_XLOLCGQM_0,LQQLRKCFNPPJ,44731344_SXKPVCFE_XLOLCGQM_0_19,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_0,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,44731344_SXKPVCFE_XLOLCGQM_0_0,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_1,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,44731344_SXKPVCFE_XLOLCGQM_0_1,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_2,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,44731344_SXKPVCFE_XLOLCGQM_0_2,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_3,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,44731344_SXKPVCFE_XLOLCGQM_0_3,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_4,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,44731344_SXKPVCFE_XLOLCGQM_0_4,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_5,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,44731344_SXKPVCFE_XLOLCGQM_0_5,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_6,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,44731344_SXKPVCFE_XLOLCGQM_0_6,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_7,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,44731344_SXKPVCFE_XLOLCGQM_0_7,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_8,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,44731344_SXKPVCFE_XLOLCGQM_0_8,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_9,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,44731344_SXKPVCFE_XLOLCGQM_0_9,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_10,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,44731344_SXKPVCFE_XLOLCGQM_0_10,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_11,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,44731344_SXKPVCFE_XLOLCGQM_0_11,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_12,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,44731344_SXKPVCFE_XLOLCGQM_0_12,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_13,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,44731344_SXKPVCFE_XLOLCGQM_0_13,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_14,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,44731344_SXKPVCFE_XLOLCGQM_0_14,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
44731344_SXKPVCFE_XLOLCGQM_0_15,44731344_SXKPVCFE_XLOLCGQM_0,CKMVQHUTCSSS,44731344_SXKPVCFE_XLOLCGQM_0_15,44731344_SXKPVCFE_XLOLCGQM_0,JOCUQRLPFDAQ,0
